source,name,partner_name,region,address,phone,email,website,facebook,instagram,logo_url,down_payment,annual_rate,term,min_loan_amount,max_loan_amount,latitude,longitude
PASHA Bank,Royal İnşaat,,,"Mərdəkan qəsəbəsi, Yesenin küçəsi, ev 87b",+994 50 233 06 06,,,,,https://ipoteka.pashabank.az/assets/images/banner/324royal.png,30%,min. 8%,20 ilədək,,,,
PASHA Bank,Ancora Residence,,,"Ağ Şəhər, Qarabağ atları meydanı",+994 50 277 27 30,,www.ancoraresidence.az,,,https://ipoteka.pashabank.az/assets/images/banner/ancora-residence-min.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Park Bayıl Residence,,,Qurban Abbasov küçəsi 29,+994 50 491 22 26,,www.parkbayil.az,,,https://ipoteka.pashabank.az/assets/images/banner/park-bayil11.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Teras Park,,,Sakit Qocayev küç. 35,*1144,,www.srconstruction.az,,,https://ipoteka.pashabank.az/assets/images/banner/teras-park11.png,min. 30%,min. 10%,20 ilədək,,,,
PASHA Bank,Ahmadli Park,,,"M.Hadi küç., 2337-ci məh.",*1144,,www.srconstruction.az,,,https://ipoteka.pashabank.az/assets/images/banner/ahmadli-park11.png,min. 30%,min. 10%,20 ilədək,,,,
PASHA Bank,Eko Park,,,Əvəz Paşayev küçəsi 2,,,,,,https://ipoteka.pashabank.az/assets/images/banner/ekopark 1.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Sabah Residence,,,"Ziya Yusifzadə küç.,12",+994 50 295 81 81,,www.sabahresidence.az,,,https://ipoteka.pashabank.az/assets/images/banner/sabah-min.png,min. 34%,min. 8%,20 ilədək,,,,
PASHA Bank,Kristal AA MTK,,,Rəşid İsmayılov 11D,+994 50 580 44 88,,,,,https://ipoteka.pashabank.az/assets/logos/building.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Elips-R MTK,,,Feyzulla Qasımzadə küç. 8,+994 50 580 44 88,,,,,https://ipoteka.pashabank.az/assets/logos/building.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Turkuaz Yaşayış Kompleksi,,,Xətai rayonu Nəsrəddin Tusi küç 293,+994 50 242 11 22,,,,,https://ipoteka.pashabank.az/assets/images/banner/turkuaz11.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Malibo Residence,,,Salatın Əsgərova küçəsi 98,+994 50 202 22 11,,,,,https://ipoteka.pashabank.az/assets/images/banner/malibo.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Grand Plaza Residence,,,Süleyman Rüstəm küçəsi 59,+994 50 505 55 22,,,,,https://ipoteka.pashabank.az/assets/images/banner/grandplaza2 1.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,28 Residence,,,"Nəsimi rayonu, Azadlıq prospekti 40",+994 50 271 11 55,,,,,https://ipoteka.pashabank.az/assets/images/banner/28-park-residence 1.png,min. 30%,min. 8%,20 ilədək,,,,
PASHA Bank,Vurğun Residence,,,Səməd Vurğun küçəsi 110,+994 50 707 57 75,,,,,https://ipoteka.pashabank.az/assets/images/banner/vurgun.png,min. 10%,min. 10%,20 ilədək,,,,
ABB Home,Kristal,,,,*1544,,,,,https://cdn.abbhome.az/c9a25d791c0b3ebd948cf114ce3638acdb261741_bf0bcb1346.jpg,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
ABB Home,Ganja Park City,,,,*2027,,,,,https://cdn.abbhome.az/thumbnail_New_Project_d1f96d7780_f408bb75ce.webp,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
ABB Home,MAYAK RESIDENCE,,,,*4554,,,,,https://cdn.abbhome.az/thumbnail_Mayak_logo_original_525fc83cbf_a714a20b4f.webp,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
ABB Home,SEA BREEZE Resort,,,,840,,,,,https://cdn.abbhome.az/Sea_Breeze_logo_a052c57192.webp,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
ABB Home,Melissa Group,,,,*3939,,,,,https://cdn.abbhome.az/melisa_logo_3ca1835227.webp,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
ABB Home,Avant Group,,,,*0241,,,,,https://cdn.abbhome.az/Avant_Group_Logo_1_0f56f0c66f.svg,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
ABB Home,ALIANS,,,,*2727,,,,,https://cdn.abbhome.az/alians_logo_9209519934.webp,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
ABB Home,BLUE CITY,,,,*6444,,,,,https://cdn.abbhome.az/blue_city_25fc0082de_7ffd8fa7a8.webp,10%-dən,11%-dən,20 ilədək,,"300,000 AZN",,
Xalq Bank,Greenville Residence,,Bakı,"Bakı şəh., Binəqədi ray., Həmdəm Ağayev küç.",+994502351047 *4242,,https://aralgroupbaku.com/az/projects/greenville-residence/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/greenville-logo-04-3.jpg,,,,,,,
Xalq Bank,Star Life Residence,,Bakı,"Bakı şəh., Nəsimi ray., Salamzadə küç.,31",+994502351042 *4442,,https://aralgroupbaku.com/az/projects/star-life-residence,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/logo-star-life-01.jpg,,,,,,,
Xalq Bank,Mirvari City,,Sumqayıt,"Sumqayıt şəh., Bulvar küç., 27",+994502351013,,https://aralgroupbaku.com/az/projects/mirvari-city,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/mirvari-logo.jpg,,,,,,,
Xalq Bank,Şəhər İncisi,,Bakı,"Bakı şəh., Nərimanov ray., Möhsün Sənani küç.,95,97,99",+994502351047 (*4242),,https://www.instagram.com/sheherincisi/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/seher-incisi-logo.jpg,,,,,,,
Xalq Bank,Çinarlı Park,,Bakı,"Bakı şəh., Binəqədi ray., Abay Kunanbayev küç., 78, 31/21-ci məhəllə",+994505005335,,https://www.chinarlipark.az/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/cinarlipark-logo.jpg,,,,,,,
Xalq Bank,Eleven Park,,Bakı,"Bakı şəh., Cəlil Məmmədquluzadə küç., 154",+994502711133,,https://www.instagram.com/eleven.park/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/eleven-park-logo-0.jpg,,,,,,,
Xalq Bank,BCR Xətai,,Bakı,"Bakı şəh., Ağ Şəhər, Nəcəfqulu Rəfiyev küç., 25",121,,https://khatai.bcr.az/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/bcr-khatai-logotype.jpg,,,,,,,
Xalq Bank,Central Towers,,Bakı,"Bakı şəh., Yasamal ray., Balababa Məcidov küç.",*1144; +994509881144,,https://srconstruction.az/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/central-towers-logo.jpg,,,,,,,
